 ,BlackGrass,Charlock,Cleavers,CommonChickweed,CommonWheat,FatHen,LooseSilkyBent,Maize,ScentlessMayweed,ShepherdsPurse,SmallFloweredCranesbill,SugarBeet
BlackGrass,10,0,0,0,1,0,11,0,1,0,0,0
Charlock,0,35,0,0,0,0,0,0,0,1,2,0
Cleavers,0,0,27,0,0,2,0,0,0,0,2,0
CommonChickweed,0,0,0,62,0,0,1,0,3,0,1,0
CommonWheat,2,1,0,0,13,1,2,0,0,0,1,1
FatHen,0,0,1,2,0,38,0,0,0,0,0,2
LooseSilkyBent,6,0,0,0,0,0,64,0,0,0,0,0
Maize,0,1,0,0,0,0,0,19,0,0,1,0
ScentlessMayweed,0,0,0,4,0,0,3,0,45,0,0,0
ShepherdsPurse,0,0,0,3,0,0,0,0,5,12,4,0
SmallFloweredCranesbill,0,0,0,0,0,0,0,0,0,0,40,0
SugarBeet,0,0,0,0,0,3,0,0,0,0,0,37
